Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00063-2019,Crop / horticulture,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Sep-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00063-2020,Crop / horticulture,Murrumbidgee,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,Jan-20, ,Breach – enforcement response completed
00064-2018,Other,Singleton,Hunter Unregulated and Alluvial Water Sources ,Jan-18,Dec-18,91E - Carrying out controlled activity,No breach – exempt
00064-2019,Irrigation,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00064-2020,Crop / horticulture,Murrumbidgee,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,Jan-20, ,Breach – enforcement response completed
00065-2018,,Wentworth,Lower Murray-Darling Unregulated and Alluvial Water Sources ,Jan-18,Jun-18,"60A - Taking water without, or otherwise than authorised by, an access licence",Other (details in running log)
00065-2019,,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Jan-19,Apr-19,91G - Contravention of terms and conditions of approval,No breach – other
00065-2020,Crop / horticulture,Murrumbidgee,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,Jan-20, ,Breach – enforcement response completed
00066-2016,Crop / horticulture,Brewarrina,Barwon-Darling Unregulated and Alluvial Water Sources ,Feb-16,Apr-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 91G - Contravention of terms and conditions of approval",Breach – enforcement response completed
00066-2017,,Tumbarumba,Murrumbidgee Unregulated and Alluvial Water Sources ,Feb-17,Aug-18,60D - Taking water otherwise than from a nominated water supply work,Breach - Referred to NRAR Licencing & Approvals
00066-2018,Development,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Jan-18,Nov-18,91E - Carrying out controlled activity,No breach – other
00066-2019,Residential,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence",Low priority
00066-2020,Other,Bellingen,Clarence River Unregulated and Alluvial Water Sources ,Jan-20,Apr-20,"91G(1), (2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00067-2018,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Jul-18,91G - Contravention of terms and conditions of approval,Breach – enforcement response completed
00067-2019,Animal,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Mar-19,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00067-2020,Other,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Jan-20,Jul-20,60B - Contravention of terms and conditions of access licence,No breach - insufficient evidence
00068-2018,Individual,Bourke,Barwon-Darling Unregulated and Alluvial Water Sources ,Feb-18,Feb-19,60B - Contravention of terms and conditions of access licence,No breach – other
00068-2019,Unknown,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Sep-19,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00068-2020,Crop / horticulture,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Dec-19,Apr-20,91I - Taking water when metering equipment not working,Low priority
00069-2017,Animal,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-17,Jan-20,91E - Carrying out controlled activity,Other (details in running log)
00069-2019,Development,Central Coast,Central Coast Unregulated Water Sources ,Jan-19,Sep-19,91E - Carrying out controlled activity,Low priority
00069-2020,Residential,Orange,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-20,Dec-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60A(2)-tier 2 - Taking water without an access licence",Breach – enforcement response completed
00070-2017,,Gosford,Central Coast Unregulated Water Sources ,Feb-17,Dec-18,91E - Carrying out controlled activity,No breach – referred to another agency
00070-2019,Crop / horticulture,Glen Innes Severn Shire,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-19,Mar-20,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00070-2020,Development,Central Coast,Central Coast Unregulated Water Sources ,Dec-19,Oct-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00071-2019,Unknown,Lake Macquarie,Hunter Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,91E - Carrying out controlled activity,No breach – referred to another agency
00071-2020,Residential,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Sep-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00072-2020,Irrigation,Cowra,Lachlan Unregulated and Alluvial Water Sources ,Jan-20,Aug-20,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – authorised by licence/approval
00073-2018,,Maitland,Hunter Unregulated and Alluvial Water Sources ,Feb-18,Jun-18,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Breach – enforcement response completed
00073-2019,Development,Lake Macquarie,Hunter Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,91E - Carrying out controlled activity,Low priority
00074-2019,Unknown,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00074-2020,Irrigation,Goulburn Mulwaree,Greater Metropolitan Region Unregulated River Water Sources ,Dec-19,Aug-20,60B - Contravention of terms and conditions of access licence,No breach – authorised by licence/approval
00075-2015,Unknown,Greater Taree,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-15,Jun-18,91B - Constructing or using water supply work,No breach – referred to another agency
00075-2016,Extractive,Bathurst Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-16,Nov-18,91E - Carrying out controlled activity,No breach – referred to another agency
00075-2019,Development,Glen Innes Severn Shire,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-19,Jun-20,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Low priority
00075-2020,Irrigation,Narromine,Lower Macquarie Groundwater Source ,Jan-20,Oct-20,91A(2)-tier 2 - Using water with a water use approval-but not in accordance with the approval (Includes using water while the approval is suspended),Breach – enforcement response completed
00076-2018,,Wyong,Central Coast Unregulated Water Sources ,Feb-18,Nov-18,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00076-2019,Crop / horticulture,Bellingen,Bellinger River Area Unregulated and Alluvial Water Sources ,Jan-19,Apr-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00077-2017,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Feb-17,Sep-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00077-2018,,Lachlan,Lachlan Unregulated and Alluvial Water Sources ,Feb-18,Feb-19,91B - Constructing or using water supply work,Breach – enforcement response completed
00077-2019,Crop / horticulture,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Jan-19,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00078-2016,Animal,Muswellbrook,Hunter Unregulated and Alluvial Water Sources ,Feb-16,Oct-18,91E - Carrying out controlled activity,No breach – other
00078-2018,Other,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Feb-18,Oct-18, ,Breach – enforcement response completed
00078-2019,Unknown,Berrigan,Murray Unregulated and Alluvial Water Sources ,Jan-19,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 60C(2), (6), (8)-tier 2 - Taking water with an access licence-but when there is there is no water allocation or insufficient water allocation",Breach – enforcement response completed
00078-2020,Irrigation,Yass Valley,NSW Murray Darling Basin Fractured Rock Groundwater Sources ,Jan-20,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00079-2017,Crop / horticulture,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Feb-17,Sep-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00079-2019,Animal,Greater Hume,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-19,Nov-19,91E - Carrying out controlled activity,Other (details in running log)
00079-2020,Irrigation,Liverpool Plains,Upper and Lower Namoi Groundwater Sources ,Jan-20,Mar-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00080-2018,,Narrabri,Gwydir Unregulated and Alluvial Water Sources ,Feb-18,Feb-19,91E - Carrying out controlled activity,Lack of information provided
00080-2019,Unknown,Murray River,Lower Murray Groundwater Sources ,Jan-19,Apr-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00080-2020,Irrigation,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Jan-20,Mar-20, ,Low priority
00081-2018,,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Feb-18,May-18,"60B - Contravention of terms and conditions of access licence, 91G - Contravention of terms and conditions of approval",Breach – enforcement response completed
00081-2020,Irrigation,Cabonne,Belubula Regulated River Water Sources ,Dec-19,May-20,60B - Contravention of terms and conditions of access licence,No breach – other
00082-2019,Unknown,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Dec-18,Aug-20,60B - Contravention of terms and conditions of access licence,Low priority
00082-2020,Irrigation,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Apr-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",Breach – enforcement response completed
